Name,Website,Description,Growth Score,Mindshare Score,Weekly Momentum,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,New Funding Employee Growth,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
Eero,eero.com,"Eero is designing and manufacturing an affordable, smart wireless networking system that intelligently route data traffic on your wireless network in a way that reduces buffering and gets rid of dead zones in your home.",574,256,-947,134,130,4,3%,97,37,38%,"45,287","41,734",9%,"35,860",26%,,,,,,9,68,390,128205.13,2014,B,"AME Cloud Ventures,Alexis Ohanian,First Round Capital,Garry Tan,Homebrew Ventures,Index Ventures,Menlo Ventures,Playground Global,Redpoint Ventures,Shasta Ventures,Stanford University",$90.0M,2016-05-25,"$50,000,000",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"communications equipment,consumer electronics,consumer services,data storage,hardware,information security,manufacturing,security,storage",,Yes,Yes,Yes
Atheer,atheerair.com,Atheer is the pioneer of AiR (Augmented interactive Reality) computing.,563,536,553,50,51,-1,-2%,51,-1,-2%,,,,,,,,,,,15,8,128,109375,2011,B,"FundersClub,Shanda Group,Signature Capital Securities,Streamlined Ventures,The Fang Group",$23.1M,2015-12-17,"$14,000,000",Bay Area,Mountain View,Bay Area,CA,United States,North America,"B2B,B2C","computer hardware,hardware,internet of things,mobile,wearables","3d technology,augmented reality",No,No,No
Formlabs,formlabs.com,"An affordable, high-resolution 3D printer for professional creators.",557,229,291,211,208,3,1%,173,38,22%,"296,160","291,895",1%,"262,558",13%,,,,,,7,58,247,141700.4,2011,B,"Autodesk ,DFJ Growth,Elad Gil,Eyal Gura,Foundry Group,Innovation Endeavors,Kapor Capital,Kima Ventures,Pascal Cagni,Pitango Venture Capital,SOSventures",$57.3M,2016-08-04,"$35,000,000",Boston,Cambridge,Boston,MA,United States,North America,B2B,"consumer electronics,enterprise software,hardware",3d printing,No,No,No
NextVR,nextvr.com,NextVR is a technology company that captures and delivers live and on-demand virtual reality experiences.,522,274,225,75,72,3,4%,46,29,63%,"1,948","1,810",8%,"2,136",-9%,,,,,,7,38,183,437158.47,2009,B,"CITIC Capital Holdings,China Media Capital (CMC),Comcast Ventures,Formation Group,Madison Square Garden Company,Peter Guber,Softbank China & India Holdings,Spectrum 28,Time Warner Investments,VMS Investment Group,Vayner RSE (RSE Ventures),Vectr Venture",$115.5M,2016-08-09,"$80,000,000",Los Angeles,Laguna Beach,Los Angeles,CA,United States,North America,"B2B,B2C","entertainment,hardware","photography,virtual reality",Yes,Yes,No
ePatientFinder,epatientfinder.com,Treatment identification platform,473,415,720,27,28,-1,-4%,21,6,29%,63,69,-9%,65,-3%,,,,,,9,11,88,93181.82,,B,Parsons & Whittemore,$11.4M,2016-06-09,"$8,200,000",Austin,Austin,Austin,TX,United States,North America,B2B,"enterprise software,hardware,health it,healthcare,human resources hr,medical diagnostics,pharmaceuticals",medical devices,No,No,No
"Knightscope, Inc.",knightscope.com,"Knightscope is developing technology to predict and prevent crime utilizing autonomous robots, predictive analytics and social engagement.",440,381,811,33,34,-1,-3%,33,0,0%,643,630,2%,499,29%,,,,,,16,21,156,32692.31,2013,B,"Flextronics,Kishore Ganji,Konica Minolta,Mihir Bhanot,NTT DoCoMo Ventures,Plug and Play Ventures,Stacy Dean Stephens,William Santana Li",$10.3M,2015-11-04,"$5,100,000",Mountain View,Mountain View,Bay Area,CA,United States,North America,"B2B,B2C","analytics,automotive,hardware,information security,physical security,robotics,security","big data,electric vehicles,robotics",No,No,No
Analogix Semiconductor,analogix.com,"Analogix Semiconductor is a leader in the design of high-performance mixed-signal semiconductors that enable HD Everywhere, 'any mobile to any screen' HD experience, making it practical for mobile devices to optimize battery life while presenting applications and movies on virtually any HD display.",422,343,214,131,129,2,2%,126,5,4%,"1,200","1,054",14%,859,40%,,,,,,91,51,872,11467.89,,B,"DCM Ventures,Globespan Capital Partners,IDG Capital Partners,Japan Asia Investment,Keytone Ventures,Western Technology Investment,Woodside Fund",$39.4M,2009-08-17,"$10,000,000",Bay Area,Santa Clara,Bay Area,CA,United States,North America,B2B,"hardware,hardware peripherals,semiconductors",,No,No,No
Edgeware,edgeware.tv,"Edgeware TV CDN enables operators and content owners to deliver their TV services at huge scale and low cost, with an amazing viewing experience.",419,373,-314,95,93,2,2%,97,-2,-2%,"1,139","1,066",7%,629,81%,,,,,,96,40,870,9195.4,2004,B,"Amadeus Capital Partners,Creandum,Micron Ventures",$11.8M,2009-03-17,"$8,000,000",Stockholm,Stockholm,,,Sweden,Europe,B2B,"data storage,hardware,storage",,No,No,No
Ybrain,ybrain.com,,403,403,-419,,,,,,,,67,67,0%,70,-4%,,,,,,18,,,Undisclosed,,B,"Golfzon Group,Stonebridge Capital",$4.1M,2015-08-26,Undisclosed,Seoul,Seoul,,,"Korea, Republic of",Asia,"B2B,B2C","data storage,fitness and wellness,hardware,healthcare,internet of things,pharmaceuticals,physical security,security,storage,wearables",consumer electronics,No,No,No
Real Intent,realintent.com,Real Intent is a provider of EDA software to accelerate early functional verification and advanced sign-off of digital designs.,403,370,0,54,53,1,2%,54,0,0%,17,20,-15%,122,-86%,,,,,,54,29,817,30599.76,1998,B,,$25.0M,2012-08-27,"$25,000,000",Bay Area,Sunnyvale,Bay Area,CA,United States,North America,B2B,"hardware,hardware peripherals",,No,No,No
Zimplistic,rotimatic.com,"Meet Rotimatic, the world's first robot that makes healthy homemade rotis and wraps for you and your family. Knocks the hassle out of fresh healthy eating.",401,322,0,49,48,1,2%,41,8,20%,"159,293","163,943",-3%,"165,437",-4%,,,,,,19,30,185,62162.16,2008,B,"Distinguished Gentlemen Group,NSI Ventures (Northstar),Robert Bosch Venture Capital",$15.0M,2015-07-22,"$11,500,000",Singapore,Singapore,,,Singapore,Asia,B2C,"e-commerce,food & beverages,hardware,household & personal products,personal products,robotics","consumer electronics,cooking ,robotics",No,No,No
GizWits,gizwits.com,"GizWits is a leading IoT technology platform that connects home appliances and consumer electronics products to the Internet and smartphones. GizWits provides IoT developers with the state of the art data analytics modules as well as IoT management tools such as remote access, notification, and Over the Air (OTA) firmware upgrade.",388,388,-179,,,,,,,,,,,,,,,,,,18,,,0,2010,B,"Juren Capital,Matrix Partners China",$200.0M,2015-08-31,"$200,000,000",Guangzhou,Guangzhou,,,China,Asia,B2B,"hardware,internet of things",,No,No,No
Meta,metavision.com,"Meta, now a revenue-generating Y Combinator startup, is designing a future where AR becomes a healthy, vital extension of who we are and creates deeper understanding, freer expression, and optimal productivity.",350,279,-36,81,82,-1,-1%,79,2,3%,,,,,,,,,,,9,13,71,704225.35,2012,B,"Alexis Ohanian,BOE Optoelectronics Technology Co,Banyan Capital,Comcast Ventures,Danhua Capital,Garry Tan,Horizons Ventures,Lenovo Group,Tencent Holdings,Tim Draper,Y Combinator,Zillionize",$73.0M,2016-06-13,"$50,000,000",Bay Area,Redwood City,Bay Area,CA,United States,North America,B2B,"consumer electronics,hardware,internet of things",,No,No,No
Cubic Telecom,cubictelecom.com,Prepaid call cards; SIP server allowing communication b/t IP addresses on mobiles,347,261,71,77,76,1,1%,57,20,35%,80,80,0%,325,-75%,,,,,,22,39,458,44541.48,2007,B,"ACT Venture Capital,Audi Electronics Venture GmbH,Enterprise Ireland,Qualcomm,Qualcomm Ventures,Sierra Wireless",$30.6M,2015-05-06,"$20,400,000",Dublin,Dublin,,,Ireland,Europe,"B2B,Consulting","automotive,hardware,hardware peripherals,mobile,software development,telecommunications",wireless,No,No,No
GreatCall,greatcall.com,"GreatCall is a leading provider of active aging & independent living solutions. Explore health apps, cell phones for seniors & medical alert devices.",345,-28,43,506,479,27,6%,440,66,15%,"285,385","285,861",0%,"284,684",0%,,37,,72,,104,335,7268,5228.4,2006,B,"Charles River Ventures (CRV),Court Square Ventures,Nauta Capital,Steelpoint Capital Partners,Sumitomo Bank Venture Fund",$74.6M,2008-06-24,"$38,000,000",San Diego,San Diego,San Diego,CA,United States,North America,"B2B,B2C","consumer electronics,e-commerce,hardware,mobile,telecommunications",medical devices,Yes,Yes,Yes
Attune Systems,storagenewsletter.com,Attune Systems provides network file management products to reduce file management complexity.,331,331,-740,,,,,,,,"85,799","88,100",-3%,"63,953",34%,,,,,,124,,,0,,B,"Allegis Capital,Alloy Ventures,GF Private Equity,QTV Capital,Quicksilver Ventures,Rock Creek Capital,Shea Ventures",$18.0M,2006-11-14,"$14,000,000",Santa Clara,Santa Clara,,CA,United States,North America,B2C,"data storage,hardware,physical storage,storage",,No,No,No
Novelda,xethru.com,XeThru Technology delivers advanced respiration monitoring,328,315,0,33,34,-1,-3%,32,1,3%,133,,,,,,,,,,11,3,10,500000,2004,B,"Alliance Venture,Investinor,Sparebanken Vest,Verdane Capital",$17.0M,2016-04-05,"$5,000,000",Kviteseid,Kviteseid,,,Norway,Europe,B2C,"hardware,healthcare,information security,internet of things,medical diagnostics,physical security,security",,No,No,No
Nexway,nexway.com,"Nexway is a leading provider of full-service e-commerce solutions for publishers and online retailers of digital video games, apps and software products.",319,270,50,118,119,-1,-1%,124,-6,-5%,"305,128","313,855",-3%,"312,464",-2%,,,,,,80,41,1385,13140.79,2002,B,"CDC Enterprises,CM-CIC Capital Finance,Oddo Asset Management,Turenne Capital Partenaires,XAnge Private Equity",$26.1M,2010-07-07,"$18,200,000",Paris,Paris,,,France,Europe,B2B,"business process management,e-commerce,hardware,hardware peripherals","android,outsourcing,pc",No,No,No
Moser Baer Solar,moserbaersolar.com,Moser Baer Solar is a technology company developing optical storage media.,314,314,37,,,,,,,,"1,633","1,707",-4%,"1,468",11%,,,,,,102,,,0,,B,"CDC Group (Commonwealth Development Corp),Credit Suisse,IDFC Private Equity,Morgan Stanley,Nomura Securities",$92.5M,2008-09-04,"$92,500,000",New Delhi,New Delhi,,,India,Asia,B2B,"biotechnology,cleantech,hardware,hardware peripherals,solar power,wind power",,No,No,No
Shoplogix,shoplogix.com,Leverage the latest cloud-based software solution to provide a real-time visual analysis of production. Gain visibility into hidden production losses.,306,264,55,69,69,0,0%,74,-5,-7%,211,204,3%,182,16%,,,,,,117,35,800,8750,2002,B,"EdgeStone Capital Partners,Relay Ventures",$7.0M,2007-06-19,"$7,000,000",Oakville,Oakville,,ON,Canada,North America,B2B,"cleantech,finance,hardware,hardware peripherals,human resources hr,wind power",,No,No,No
MAPPER Lithography,mapperlithography.com,MAPPER Lithography is a Netherlands-based developer of lithography machines for the chip industry.,300,212,0,225,225,0,0%,223,2,1%,161,162,-1%,165,-2%,,,,,,117,77,2138,238.54,2000,B,"Quest Management NV,Quest for Growth","$510,000",2007-05-30,"$510,000",Delft,Delft,,,Netherlands,Europe,,"hardware,hardware peripherals,healthcare,pharmaceuticals,semiconductors",,No,No,No
Rokid,rokid.com,"Rokid’s award winning artificial intelligence (A.I.) brings personality, emotion and two-way human-like communication to your everyday life.",288,198,-1,44,44,0,0%,,,,,,,,,,,,,,4,8,14,4642857.14,2014,B,"IDG Capital Partners,Walden International",$65.0M,2016-10-25,"$65,000,000",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"consumer electronics,hardware",,No,No,No
Gogoro,gogoro.com,Gogoro develops and sells electric and battery swapping infrastructure. Its battery powered motor scooters can be monitored via smartphone app. Subscription-paying customers can swap batteries at Gogoro Energy Network stations.,271,-276,0,351,349,2,1%,293,58,20%,"330,939","335,227",-1%,"332,433",0%,,,,,,16,180,1755,17094.02,2011,B,Naspers,$180.0M,2015-11-15,"$30,000,000",Taipei,Taipei,,,"Taiwan, Province of China",Asia,"B2B,B2C","automotive,cleantech,e-commerce,energy,hardware,internet of things,solar power,wind power",bikes,No,No,No
Procured Health,procuredhealth.com,Evidence-Based Applications For Clinical Therapies and Pharmaceutical Products | Procured Health,266,38,0,80,73,7,10%,52,28,54%,363,353,3%,339,7%,,,,,,9,44,247,40485.83,2012,B,"Bessemer Venture Partners,Blueprint Health,Carl Byers,Clayton Associates,F-Prime Capital Partners,Foley Ventures,Health Insight Capital,Heritage Group,Zimmerman Ventures",$15.1M,2016-06-14,"$10,000,000",Chicago,Chicago,Chicago,IL,United States,North America,"B2B,SaaS","analytics,hardware,healthcare,healthcare providers,human resources hr,medical devices,pharmaceuticals","health & wellness,medical devices,supply chain",No,No,No
Cerevo,cerevo.com,"Cerevo is manufacturer for 'connected' consumer electronics products such as H.264 video encoder, HD video switcher, remote controllable power strip, and smartphone accessories with Bluetooth.",265,265,380,,,,,,,,"141,751","136,929",4%,"84,919",67%,,,,,,73,,,Undisclosed,2007,B,"Enova,Inspire Ventures,Neostella capital",$0,2011-02-18,Undisclosed,Tokyo,Tokyo,Tokyo,,Japan,Asia,B2C,"automotive,hardware,hardware peripherals,social networking",photo sharing,No,No,No
Solantro Semiconductor,solantro.com,"Our mission to enable grid modernization. So we designed and manufactured a set of integrated circuits that we believe are the ideal building blocks for next generation grid applications. Unlike existing integrated circuits, Solantro's chips were designed and built specifically to measure, process and drive complex power architectures.",262,262,18,39,41,-2,-5%,38,1,3%,56,56,0%,84,-33%,,,,,,23,0,21,523809.52,,B,"BDC Venture Capital,Black Coral Capital,Clean Energy Venture Group,EDC Equity,Inerjys,Presidio Ventures",$29.8M,2015-04-08,"$11,000,000",Ottawa,Ottawa,,ON,Canada,North America,B2B,"cleantech,energy,hardware,hardware peripherals,semiconductors,solar power,wind power",solar energy,No,No,No
Trigence,trigence.com,"Trigence developes pure digital audio IC and solution for the consumer and IT markets, such as digital loudspeaker, sound bar, Hi-Fi, headphone, earphone, etc.",256,247,0,14,14,0,0%,8,6,75%,6,6,0%,6,0%,,,,,,121,6,48,166666.67,,B,"BDC Venture Capital,Growth Works,GrowthWorks Capital,Intel Capital,VenGrowth Capital Partners",$15.1M,2007-02-06,"$8,000,000",New York,Jersey City,New York,NJ,United States,North America,B2B,"cleantech,hardware,hardware peripherals,software development,wind power",,No,No,No
Elastifile,elastifile.com,"Elastifile is redefining enterprise storage with an all flash solution bridging current and emerging data center architectures. Combining the resiliency and functionality richness of enterprise storage with the agility and cost model efficiency of web scale architecture, Elastifile delivers flash performance to any and all enterprise applications while reducing the CAPEX and OPEX of virtualized data centers and private clouds.",255,141,0,76,73,3,4%,61,15,25%,42,37,14%,101,-58%,,,,,,9,22,155,96774.19,2014,B,"Battery Ventures,Cisco Investments,Lightspeed Venture Partners",$58.0M,2016-06-14,"$15,000,000",Herzliya,Herzliya,,,Israel,Asia,B2B,"cleantech,data storage,enterprise software,hardware,hardware peripherals,information security,network / hosting / infrastructure,physical storage,security,storage,wind power",,No,No,No
Ondot Systems,ondotsystems.com,"Ondot Systems is the creator of CardControl, a white-label solution that that will help protect against fraud and give consumers control over when, where and how their payment cards are used.",250,148,0,80,78,2,3%,72,8,11%,201,187,7%,160,26%,,,,,,11,24,217,46082.95,2011,B,,$28.0M,2016-03-28,"$10,000,000",Bay Area,San Jose,Bay Area,CA,United States,North America,B2B,"finance,hardware,hardware peripherals,payments,security",,No,No,No
Reduxio,reduxio.com,"Reduxioâ?¢ builds a next-generation storage platform that provides breakthrough capacity savings and infinite data recoverability through unique real-time primary storage deduplication and protection technologies called NoDupâ?¢ and Backdatingâ?¢.Reduxio was founded by leaders from IBM, EMC, NetApp and Dell, and is backed by Intel Capital, JVP and Carmel Ventures.",249,169,0,71,70,1,1%,78,-7,-9%,46,23,100%,9,411%,,,,,,29,49,773,19404.92,2012,B,"Carmel Ventures,Intel Capital,Jerusalem Venture Partners,Seagate Technology,Viola Group",$25.0M,2014-10-06,"$15,000,000",Bay Area,South San Francisco,Bay Area,CA,United States,North America,B2B,"cleantech,data storage,enterprise software,hardware,hardware peripherals,information security,physical storage,security,storage,wind power","cloud computing,cloud storage",No,No,No
More Design,1more.com,Award-winning 1MORE in-ear and over-ear headphones. Premium quality headphones with free shipping and 30-day money-back guarantee.,219,205,1331,4,4,0,0%,,,,"10,489","10,369",1%,"8,064",30%,,,,,,24,2,12,1250000,2013,B,GGV Capital,$15.0M,2015-03-19,"$15,000,000","Taiwan, Province of China",,,,"Taiwan, Province of China",Asia,B2C,"e-commerce,hardware,hardware peripherals",,No,No,No
Zerostack,zerostack.com,"ZeroStack delivers the industry’s first complete, scale-out private cloud that converges compute, storage, networking and management services. With ZeroStack, customers can drastically reduce time to value for IT, and lower software, hardware and operational costs.",218,157,-22,35,36,-1,-3%,32,3,9%,"3,172","1,239",156%,,,,,,,,16,22,224,71428.57,2014,B,"Formation 8,Foundation Capital,Mark Leslie",$21.6M,2015-10-20,"$16,000,000",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"cleantech,cloud computing,data storage,enterprise software,hardware,hardware peripherals,information security,physical security,security,storage,wind power",iaas,No,No,No
A.I. Nemo,zaijia.com,A.I. Nemo is a hardware startup that produces a smart robot companion,217,161,9,18,15,3,20%,7,11,157%,,,,,,,,,,,22,10,60,166666.67,2014,B,"Innovation Works,Lightspeed China Partners",$10.0M,2015-05-12,"$10,000,000",China,,,,China,Asia,B2C,"e-commerce,hardware",robotics,No,No,No
Noitom,noitom.com,"Noitom Ltd. develops world-class motion capture technology for consumer and industrial markets through the integration of MEMS sensors, pattern recognition, human kinetics and wireless transmission. Noitom is an international leader in innovative technology for use in animation, film, medical applications, robotics and gaming.",212,143,-454,39,39,0,0%,27,12,44%,107,321,-67%,,,,,,,,16,13,66,303030.3,2011,B,"Alpha Animation,Haitong Kaiyuan Investment,Legend Capital",$25.0M,2015-11-15,"$20,000,000",Beijing,Beijing,,,China,Asia,B2B,"entertainment,gaming,hardware,healthcare,medical devices,pharmaceuticals",,No,No,No
TRACE Live Network,trace.com,TRACE.com is a live-action content platform aggregating streamed footage from globally activated TRACEr1 devices. The TRACEr1 is a visually intelligent camera that autonomously operates a selection of tracking devices and live-streams captured user footage directly to the Internet.,211,210,-68,4,4,0,0%,5,-1,-20%,656,555,18%,779,-16%,,,,,,20,0,17,411764.71,2014,B,"Business Instincts Group,Salman Partners",$9.5M,2015-07-15,"$7,000,000",Toronto,Toronto,,,Canada,North America,B2C,"consumer electronics,drones,entertainment,hardware,media","consumer electronics,streaming film / tv",No,No,No
Inventables,inventables.com,Inventables: the hardware store for designers. We help designers buy the products they need.,206,164,-126,31,30,1,3%,30,1,3%,"394,328","395,150",0%,"343,793",15%,,,,,,17,15,134,37313.43,2002,B,"Corazon Capital,Draper Associates,Dundee Venture Capital,Georges Harik,Greycroft Partners,Richard Yoo,True Ventures",$10.0M,2015-10-06,"$5,000,000",Chicago,Chicago,Chicago,IL,United States,North America,"B2B,B2C,Marketplace","automotive,e-commerce,hardware","design,engineering",No,No,No
