CrunchBase Name,Name,Website,Description,Growth Score,Mindshare Score,Weekly Momentum,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,New Funding Employee Growth,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Interested,Alert,Custom List,Public List,Keywords,Has Mobile App,Has Google Play App,Has iTunes App,Date Added,crunchbase_uuid,type,primary_role,name,crunchbase_url,homepage_domain,homepage_url,profile_image_url,facebook_url,twitter_url,linkedin_url,stock_symbol,location_city,location_region,location_country_code,short_description,people
infocentricity,FICO (Fair Isaac Corporation),fico.com,infoCentricity was added in 2013.,-240,-240,1231,"2,519","2,473",46,2%,"2,244",275,12%,"256,991","261,459",-2%,"259,324",-1%,,,,,,,,,Undisclosed,1956,Exited (ipo),,Undisclosed,,Undisclosed,Bay Area,San Jose,Bay Area,CA,United States,North America,"B2B,B2C","analytics,banking,data storage,finance,information security,insurance,marketing,marketing analytics,security,storage",0,0,0,0,,No,No,No,4/4/13,2d4dfea1-4f6b-ba46-7e9e-15bb9e68f7f0,Organization,company,infoCentricity,https://www.crunchbase.com/organization/infocentricity?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,fico.com,http://www.fico.com,,,,,:,,,,"InfoCentricity, Inc. is an analytic solutions company, helps clients in discovering and leveraging key insights hidden in client's data.",
vitria-technology-inc,Vitria,vitria.com,Vitria offers an operational intelligence (OI) platform that empowers partners and customers to develop operational intelligence solutions.,-234,-234,147,155,154,1,1%,148,7,5%,"1,104","1,046",6%,893,24%,,,,,,,,,Undisclosed,1994,Exited (ipo),"Redpoint Ventures,Sutter Hill Ventures",$0Â ,,Undisclosed,Bay Area,Sunnyvale,Bay Area,CA,United States,North America,B2B,"analytics,customer support,marketing,marketing analytics",0,0,0,0,,No,No,No,3/27/14,2316544d-7807-8d5f-179f-200f71ac18e1,Organization,company,"Vitria Technology, Inc",https://www.crunchbase.com/organization/vitria-technology-inc?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,vitria.com,http://www.vitria.com/,https://www.crunchbase.com/organization/vitria-technology-inc/primary-image/raw,http://www.facebook.com/pages/Vitria-Technology/140311032680475,http://twitter.com/vitriatech,http://www.linkedin.com/company/166823,NASDAQ:VITR,Sunnyvale,California,USA,Vitria Technology provides operational intelligence and business process management solutions for businesses worldwide.,
the-nielsen-company,The Nielsen Company,nielsen.com,Nielsen Business Media is a mobile apps developer company which has developed apps like Interbike International Bicycle Exp,-227,-227,20,"29,921","29,378",543,2%,"27,659","2,262",8%,"1,473,199","1,470,850",0%,"1,508,950",-2%,,,,,,,,,Undisclosed,,Exited (ipo),"HarbourVest Partners,KKR,Level Equity",$0Â ,,Undisclosed,New York,New York,New York,NY,United States,North America,"B2B,Consulting","advertising,analytics,healthcare,market research,marketing,marketing analytics,transportation",0,0,0,0,,Yes,Yes,Yes,5/29/14,7724eb4e-16dd-9464-836e-4e6609895a10,Organization,company,The Nielsen Company,https://www.crunchbase.com/organization/the-nielsen-company?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,nielsen.com,http://www.nielsen.com,https://www.crunchbase.com/organization/the-nielsen-company/primary-image/raw,,,,:,,,,Global marketing research and business services company.,
akamai-technologies,Akamai,akamai.com,"Akamai is the leading content delivery network (CDN) services provider for media and software delivery, and cloud security solutions.",-222,-222,3,"5,740","5,313",427,8%,"5,204",536,10%,"1,718,192","1,719,530",0%,"1,718,649",0%,,,,,,,,,Undisclosed,1998,Exited (ipo),"Canvas Venture Fund,GGV Capital ,Industry Ventures,InterWest Partners",$0Â ,,Undisclosed,Boston,Cambridge,Boston,MA,United States,North America,"B2B,Consulting","analytics,healthcare,information security,pharmaceuticals,security",0,0,0,0,"broadcasting,content delivery,iaas",Yes,Yes,Yes,4/26/13,6827f18b-09a0-58e4-ab12-0c26b8d2bda5,Organization,company,Akamai Technologies,https://www.crunchbase.com/organization/akamai-technologies?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,akamai.com,http://www.akamai.com,https://www.crunchbase.com/organization/akamai-technologies/primary-image/raw,http://www.facebook.com/AkamaiTechnologies,http://twitter.com/Akamai,http://www.linkedin.com/company/akamai-technologies,NASDAQ:AKAM,Cambridge,Massachusetts,USA,"AkamaiÂ® is the leading provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.",
datawatch-corp,Datawatch,datawatch.com,Use Datawatch's self-service data preparation and visualization tools to bridge the gap between business and IT.,-222,-222,66,215,215,0,0%,218,-3,-1%,"13,767","15,026",-8%,"14,710",-6%,,,,,,37,17,272,211397.06,1985,Exited (ipo),,$57.5MÂ ,2/19/14,"$57,500,000 ",Boston,Bedford,Boston,MA,United States,North America,B2B,"analytics,data storage,finance,human resources hr,internet of things,marketing,marketing analytics,storage",0,0,0,0,,No,No,No,2/24/14,aa9707bd-e9f8-074d-c899-221014cb03bd,Organization,company,Datawatch Corp,https://www.crunchbase.com/organization/datawatch-corp?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,datawatch.com,http://datawatch.com,https://www.crunchbase.com/organization/datawatch-corp/primary-image/raw,http://www.facebook.com/Datawatch-Corporation/158242860872,http://twitter.com/Datawatch,http://www.linkedin.com/company/13408,NASDAQ:DWCH,Bedford,Massachusetts,USA,"Datawatch Corporation designs, develops, markets, and distributes business computer software products in the United States and",
ebiquous,Ebiquity,ebiquity.com,"eBIQUOUS offers subscription-based, mobile website services via automated web host licenses and social affiliate programs.",-209,-209,-193,536,530,6,1%,493,43,9%,"40,140","42,342",-5%,"39,159",3%,,,,,,,,,Undisclosed,1997,Exited (ipo),,Undisclosed,,Undisclosed,London,London,London,,United Kingdom,Europe,"B2B,B2C","advertising,analytics,human resources hr,marketing,marketing analytics",0,0,0,0,,No,No,No,4/4/13,4e98308e-7665-9826-e2ba-807b13bc77e4,Organization,company,EBIQUOUS,https://www.crunchbase.com/organization/ebiquous?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,ebiquity.com,https://www.ebiquity.com,https://www.crunchbase.com/organization/ebiquous/primary-image/raw,,http://twitter.com/ebiquous,,:,Santiago,Region Metropolitana,CHL,"eBIQUOUS offers subscription-based, mobile website services via automated web host licenses and social affiliate programs.",
salmat,Salmat,salmat.com.au,"Acquire customers, reach more through right targeting on a variety of media from print to digital by Salmat client solutions.",-183,-183,259,"2,030","2,025",5,0%,,,,"87,912",,,,,,,,,,,,,Undisclosed,1979,Exited (ipo),,Undisclosed,,Undisclosed,North Sydney,North Sydney,,,Australia,Oceania,,"analytics,customer support,marketing,marketing analytics",0,0,0,0,,No,No,No,11/13/14,365089d9-7d3e-c867-d6cf-8083c1425135,Organization,company,Salmat,https://www.crunchbase.com/organization/salmat?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,salmat.com.au,http://www.salmat.com.au,https://www.crunchbase.com/organization/salmat/primary-image/raw,,https://www.twitter.com/salmat,,ASX:SLM,North Sydney,New South Wales,AUS,Salmat is an advertising agency that helps brand reach their desired consumer base.,
convio,Convio,convio.com,"World's best Fundraising, P2P, Marketing, Advocacy and CRM Software for NonProfits - Online Fundraising, Donor Management & Database, Email Marketing, Advocacy, Peer to peer. Convio + Blackbaud Raiser's Edge Integration.",-180,-163,800,83,83,0,0%,82,1,1%,"17,093","16,399",4%,"570,120",-97%,,,,,,118,-15,457,22210.07,1999,Exited (ipo),"Adams Street Partners,Adobe Ventures,Austin Ventures,El Dorado Ventures,Granite Ventures,Imperial Bank,Pacific Partners,Rembrandt Venture Partners,Silverton Partners",$10.2MÂ ,5/16/07,"$10,150,000 ",Austin,Austin,Austin,TX,United States,North America,B2B,"analytics,crowdfunding,finance,marketing,marketing analytics",0,0,0,0,,No,No,No,4/4/13,0cea13d4-c67b-8424-1c7d-481a14a354f2,Organization,company,Convio,https://www.crunchbase.com/organization/convio?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,convio.com,http://www.convio.com,https://www.crunchbase.com/organization/convio/primary-image/raw,,http://twitter.com/convio,http://www.linkedin.com/company/6621,NASDAQ:CNVO,Austin,Texas,USA,"Convio provides software and servicesÂ enabling non-profit organizations to raise funds, influence public policy and support their processes.",
isentia,iSentia,isentia.com,"iSentia is the Asia-Pacific region's leading media intelligence company, providing over 5,000 clients with media information, analysis and advice 24/7/365. iSentia has more than 1,100 employees across 17 countries filtering information from over 10,000 print, radio and television media outlets and over 250 million online conversations per month. Our talented people, innovative search technology, comprehensive coverage and expert research provides the tools and insight to allow our clients to manage media relationships effectively, track and analyse issues of interest across all media, and discover and share valuable insights that drive smarter decisions.",-164,-164,3,0,1,-1,-100%,1,-1,-100%,"124,756","121,796",2%,"118,434",5%,,,,,,,,,Undisclosed,1982,Exited (ipo),,Undisclosed,,Undisclosed,Sydney,Sydney,,,Australia,Oceania,B2C,"analytics,marketing,marketing analytics",0,0,0,0,,No,No,No,7/18/14,37797d44-d47e-47bf-c8c3-e964720e32f4,Organization,company,Isentia,https://www.crunchbase.com/organization/isentia?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,isentia.com,http://www.isentia.com,https://www.crunchbase.com/organization/isentia/primary-image/raw,https://www.facebook.com/isentiacom/,https://twitter.com/isentia,https://www.linkedin.com/company/isentia,ASX:ISD,,New South Wales,AUS,"Isentia is a global leader in delivering crucial business intelligence, operating in 18 offices across the Asia-Pacific.",
exlservice-holdings,ExlService Holdings,exlservice.com,EXL looks deeper with proven business process solutions. We combine analytics and process management to help clients handle change and sustain growth.,-155,-155,-1073,"8,952","8,857",95,1%,"8,382",570,7%,"40,781","36,418",12%,"36,117",13%,,,,,,,,,Undisclosed,1999,Exited (ipo),Technology Crossover Ventures,$0Â ,,Undisclosed,New York,New York,New York,NY,United States,North America,"B2B,Consulting","analytics,finance",0,0,0,0,,No,No,No,4/4/13,ef7d056b-0d23-d3ac-7940-79451b891b73,Organization,company,ExlService Holdings,https://www.crunchbase.com/organization/exlservice-holdings?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,exlservice.com,http://www.exlservice.com,https://www.crunchbase.com/organization/exlservice-holdings/primary-image/raw,http://www.facebook.com/EXLService,http://twitter.com/exl_service,http://www.linkedin.com/company/163743,NASDAQ:EXLS,New York,New York,USA,EXL (NASDAQ: EXLS) is a leading provider of Transformation and Outsourcing services to Global 1000 companies in multiple industries,
thomson-reuters,Thomson Reuters,thomsonreuters.com,"Thomson Reuters provides professionals with the intelligence, technology and human expertise they need to find trusted answers.",-143,-143,-1157,"55,042","48,180","6,862",14%,"52,767","2,275",4%,"2,840,532","2,848,100",0%,"2,783,341",2%,3,7,-57%,59,-95%,,,,Undisclosed,1999,Exited (ipo),"DN Capital,Silver Lake Partners",$0Â ,,Undisclosed,New York,New York,New York,NY,United States,North America,"B2B,SaaS","analytics,biotechnology,enterprise software,finance,human resources hr,information security,security",0,0,0,0,android,Yes,Yes,Yes,5/4/14,af1cb234-2108-fc02-272a-5ade65278655,Organization,company,Thomson Reuters,https://www.crunchbase.com/organization/thomson-reuters?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,thomsonreuters.com,http://thomsonreuters.com,https://www.crunchbase.com/organization/thomson-reuters/primary-image/raw,http://www.facebook.com/thomsonreuters,http://twitter.com/ThomsonReuters,http://www.linkedin.com/company/thomson-reuters_1400,NYSE:TRI,New York,New York,USA,"Thomson Reuters delivers critical information from the financial, legal, accounting, intellectual property, science, and media markets.",
zamano,Zamano,zamano.com,"zamano is an Irish Plc. offering mobile business solutions including a high-volume messaging gateway, secure mobile payments and effective mobile marketing.",-136,-136,-119,25,25,0,0%,25,0,0%,271,364,-26%,532,-49%,,,,,,,,,Undisclosed,2000,Exited (ipo),,Undisclosed,,Undisclosed,Dublin,Dublin,,,Ireland,Europe,,"advertising,analytics,finance,human resources hr,information security,marketing,marketing analytics,mobile,payments,security",0,0,0,0,content,No,No,No,4/4/13,034a2c1e-e817-88be-6327-3ca60a6a0f88,Organization,company,Zamano,https://www.crunchbase.com/organization/zamano?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,zamano.com,http://zamano.com,https://www.crunchbase.com/organization/zamano/primary-image/raw,http://www.facebook.com/zamano,http://twitter.com/zamano,http://www.linkedin.com/company/zamano,LON:ZMNO,Dublin,Dublin,IRL,Zamano plc is a leading provider of interactive applications and services to mobile devices.,
fusionex,Fusionex,fusionex-international.com,"Fusionex is a Business Intelligence, Analytics and Big Data Specialist",-134,-134,-102,223,220,3,1%,190,33,17%,28,,,,,,,,,,,,,Undisclosed,1997,Exited (ipo),,Undisclosed,,Undisclosed,Petaling Jaya,Petaling Jaya,,,Malaysia,Asia,B2B,"analytics,data storage,marketing,marketing analytics,storage",0,0,0,0,,No,No,No,10/2/14,fdf5526a-8e42-eb56-0def-93ff69fac1fb,Organization,company,Fusionex,https://www.crunchbase.com/organization/fusionex?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,fusionex-international.com,http://www.fusionex-international.com/,https://www.crunchbase.com/organization/fusionex/primary-image/raw,https://www.facebook.com/FusionexInternational,https://twitter.com/FusionexInt,https://www.linkedin.com/company/fusionex-international,LON:FXI,London,England,GBR,"Fusionex is a Business Intelligence, Analytics and Big Data Specialist",
performant-financial-corporation,Performant Financial Corporation,performantcorp.com,Accelerate Your Path To Value,-125,-125,604,324,,,,,,,938,"1,100",-15%,685,37%,,,,,,,,,Undisclosed,1976,Exited (ipo),,Undisclosed,,Undisclosed,Bay Area,Livermore,Bay Area,CA,United States,North America,,"analytics,finance,marketing,marketing analytics,payments",0,0,0,0,customer service,No,No,No,9/24/14,2bd50af4-b9b7-92d9-56d6-c26b38b0fb96,Organization,company,Performant Financial Corporation,https://www.crunchbase.com/organization/performant-financial-corporation?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,performantcorp.com,http://www.performantcorp.com/,https://www.crunchbase.com/organization/performant-financial-corporation/primary-image/raw,,,http://www.linkedin.com/company/performant-financial-corporation,NASDAQ:PFMT,Livermore,California,USA,Performant Financial Corporation,
pervasive-software,Pervasive Software,pervasive.com,Pervasive Software develops and distributes data management and integration software to harvest data from disparate sources.,-123,-123,210,123,128,-5,-4%,,,,"34,537","39,468",-12%,"47,774",-28%,,,,,,,,,Undisclosed,,Exited (ipo),,Undisclosed,,Undisclosed,Atlanta,Cumming,Atlanta,GA,United States,North America,B2B,analytics,0,0,0,0,,No,No,No,4/4/13,6084f505-29a7-ebba-0da5-f58f90771867,Organization,company,Pervasive Software,https://www.crunchbase.com/organization/pervasive-software?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,pervasive.com,http://www.pervasive.com,https://www.crunchbase.com/organization/pervasive-software/primary-image/raw,https://www.facebook.com/actiancorp,https://www.twitter.com/actiancorp,,NASDAQ:PVSW,Austin,Texas,USA,Pervasive Software develops and distributes data management and integration software to harvest data from disparate sources.,
leads-com,Leads.com,leads.com,"LEADS by Web.com has provided online advertising to over 37,000 customers since 2005 for all types of businesses.",-119,-119,257,,,,,,,,3,3,0%,3,0%,,,,,,,,,Undisclosed,,Exited (ipo),,Undisclosed,,Undisclosed,Jacksonville,Jacksonville,Jacksonville,FL,United States,North America,"B2B,Consulting","advertising,analytics,customer support,marketing,marketing analytics",0,0,0,0,,No,No,No,4/4/13,6c76f7eb-e182-93d5-6dbe-bbbe693210d7,Organization,company,Leads.com,https://www.crunchbase.com/organization/leads-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,leads.com,http://www.leads.com,https://www.crunchbase.com/organization/leads-com/primary-image/raw,https://www.facebook.com/web.com,https://www.twitter.com/webdotcom,,:,Manassas,Virginia,USA,"LEADS by Web.com has provided online advertising to over 37,000 customers since 2005 for all types of businesses.",
sap-iot-startup-accelerator,SAP,sap.com,"Get software and technology solutions from SAP, the leader in business applications. Run simple with the best in cloud, analytics, mobile and IT solutions.",-114,-114,519,"75,235","74,702",533,1%,"68,773","6,462",9%,"3,873,181","3,892,888",-1%,"3,946,211",-2%,23,23,0%,"3,155",-99%,,,,Undisclosed,1972,Exited (ipo),,$0Â ,,Undisclosed,Walldorf,Walldorf,,,Germany,Europe,B2B,"analytics,enterprise software,finance,human resources hr,mobile",0,0,0,0,android,Yes,Yes,Yes,4/4/13,eaef7726-b670-a0a7-ae7d-a9bef4b638c3,Organization,investor,SAP IoT Startup Accelerator,https://www.crunchbase.com/organization/sap-iot-startup-accelerator?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,sap.com,https://www.sap.com/corporate/en/company/innovation/iot-startup.html,,,,,:,Berlin,Berlin,DEU,The SAP IoT Startup Accelerator is a structured co-innovation program.,
ipg-worldwide,Interpublic Group,interpublic.com,"Interpublic Group is a global leader in modern marketing solutions. With offices in all major world markets, our companies specialize in consumer advertising, digital marketing, communications planning and media buying, public relations and specialty marketing.",-24,-24,-85,"2,289","2,270",19,1%,"2,187",102,5%,"538,281","541,768",-1%,"540,632",0%,,,,,,,,,Undisclosed,,Exited (ipo),Baird Capital,$0Â ,,Undisclosed,New York,New York,New York,NY,United States,North America,B2B,"advertising,analytics,enterprise software,human resources hr,marketing,marketing analytics",0,0,0,0,fortune 500,No,No,No,4/4/13,06ca5612-19b8-4dd3-becd-0ca1a732e854,Organization,company,IPG Worldwide,https://www.crunchbase.com/organization/ipg-worldwide?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,interpublic.com,https://www.interpublic.com,,,,,:,,,,IPG Worldwide - IPG Worldwide is a global provider of marketing solutions.,
natera,Natera,natera.com,"Natera develops and commercializes non-invasive methods for analyzing DNA. The company operates a Clinical Laboratory Improvement Amendments (CLIA) currently offering a host of preconception and prenatal genetic testing services primarily to OBGYN physicians and in-vitro fertilization centers. In 2013, it launched Panoramaâ„¢, a test for pregnant women that screens for the most common chromosomal anomalies in a fetus as early as nine weeks of gestation.",-110,-450,182,691,672,19,3%,555,136,25%,"27,658","27,204",2%,"15,378",80%,,,,,,23,136,733,75716.23,2004,Exited (ipo),"Alafi Capital,Claremont Creek Ventures,Founders Fund,Harmony Partners,Lightspeed Venture Partners,National Institutes of Health (NIH),OrbiMed Advisors,Sequoia Capital,Sofinnova Ventures",$154.1MÂ ,4/6/15,"$55,500,000 ",Bay Area,San Carlos,Bay Area,CA,United States,North America,B2B,"analytics,biotechnology,healthcare,medical diagnostics,pharmaceuticals",0,0,0,0,,No,No,No,4/4/13,990892aa-57fd-74e0-c1cf-a07a76c8fc58,Organization,company,Natera,https://www.crunchbase.com/organization/natera?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,natera.com,http://www.natera.com,https://www.crunchbase.com/organization/natera/primary-image/raw,http://www.facebook.com/Natera/307077349331655,http://twitter.com/NateraPrenatal,http://www.linkedin.com/company/1051903,NASDAQ:NTRA,Redwood City,California,USA,Natera develops tests ranging from pre-implantation genetic diagnosis for IVF to advances in the field of non-invasive prenatal testing.,
transaction-systems-architects,ACI Worldwide,aciworldwide.com,"ACI Worldwide delivers electronic banking and payment solutions for more than 5,000 financial institutions, merchants, billers and processors around the world.",-102,-102,799,"4,239","4,208",31,1%,"4,051",188,5%,"236,718","230,438",3%,"226,941",4%,,,,,,,,,Undisclosed,1975,Exited (ipo),,$0Â ,,Undisclosed,Naples,Naples,,FL,United States,North America,B2B,"analytics,banking,enterprise software,finance,information security,payments,security",0,0,0,0,,Yes,No,Yes,4/4/13,c8826ea4-fd35-6368-ca9f-f799219bb46a,Organization,company,Transaction Systems Architects,https://www.crunchbase.com/organization/transaction-systems-architects?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,aciworldwide.com,https://www.aciworldwide.com,,,,,:,,,,Transaction Systems Architects is a Transaction Processing company.,
deluxe,Deluxe Corp,deluxe.com,Deluxe partners with small businesses and financial institutions to accelerate growth. Learn more about Deluxe marketing services and checks here.,-98,-98,304,"4,214","4,244",-30,-1%,"4,396",-182,-4%,"682,370","676,533",1%,"666,617",2%,,,,,,,,,Undisclosed,1915,Exited (ipo),,Undisclosed,,Undisclosed,Minneapolis,Shoreview,Minneapolis,MN,United States,North America,Consulting,"analytics,e-commerce,finance,human resources hr,marketing,marketing analytics",0,0,0,0,,No,No,No,4/4/13,ab912196-35a3-5a99-3862-9609b6b2ba96,Organization,company,Deluxe Corp,https://www.crunchbase.com/organization/deluxe?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,deluxe.com,http://www.deluxe.com,https://www.crunchbase.com/organization/deluxe/primary-image/raw,http://www.facebook.com/deluxecorp,http://twitter.com/deluxecorp,,NYSE:DLX,Saint Paul,Minnesota,USA,Deluxe Corp provides services that help small businesses and financial institutions acquire and retain customers.,
answergen,Answergen,answergen.com,"Answergen is a BI tool for all industries and provides business users with easy access to information through dashboards, drill downs, Business Intelligence Solutions, Analytics software and detail reports.",-89,-89,-1,,,,,,,,"1,645","1,227",34%,867,90%,,,,,,,,,Undisclosed,1992,Exited (ipo),,Undisclosed,,Undisclosed,Bonita Springs,Bonita Springs,,FL,United States,North America,"B2B,Consulting","analytics,data storage,enterprise software,finance,human resources hr,information security,marketing,marketing analytics,security,storage",0,0,0,0,"analytics,business intelligence",No,No,No,7/17/14,7790d301-c20b-9c2a-969b-f47085a2e6f5,Organization,company,Answergen,https://www.crunchbase.com/organization/answergen?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,answergen.com,http://www.answergen.com,https://www.crunchbase.com/organization/answergen/primary-image/raw,http://www.facebook.com/pages/Answergen/545474515574371,http://twitter.com/SengenInc,http://www.linkedin.com/company/answergen,:,Bonita Springs,Florida,USA,Answergen is a business solution that allows in-depth analysis of your business.,
mattersight-corp,Mattersight,mattersight.com,"Mattersight uses cutting-edge customer interactions analytics, then use those insights to drive performance, savings, and profit in call centers.",-85,-179,0,218,213,5,2%,186,32,17%,"1,687","1,448",17%,"1,081",56%,,,,,,62,79,974,6160.16,,Exited (ipo),"Investor Growth Capital,Sutter Hill Ventures,Technology Crossover Ventures",$6.0MÂ ,1/3/12,"$5,999,997 ",Chicago,Chicago,Chicago,IL,United States,North America,B2B,"analytics,customer support,finance,marketing,marketing analytics",0,0,0,0,,No,No,No,3/27/14,8fa18a6b-d309-463f-5f60-fb4572ee67ad,Organization,company,Mattersight,https://www.crunchbase.com/organization/mattersight-corp?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,mattersight.com,http://www.mattersight.com,https://www.crunchbase.com/organization/mattersight-corp/primary-image/raw,http://www.facebook.com/eloyaltytechnology,http://twitter.com/Mattersight,http://www.linkedin.com/company/mattersight-corporation,NASDAQ:MATR,Chicago,Illinois,USA,Mattersight provides SaaS-based enterprise behavioral analytics software.,
medl-mobile,MEDL Mobile,medlmobile.com,"MEDL Mobile custom app development architects, designs and develops high end, mobile apps for iOS and Android fueled by creativity.",-85,-75,0,28,28,0,0%,26,2,8%,307,355,-14%,314,-2%,"15,241","14,168",8%,"14,899",2%,62,-9,297,5050.51,2008,Exited (ipo),,$4.0MÂ ,1/1/12,"$1,500,000 ",Los Angeles,Irvine,Los Angeles,CA,United States,North America,B2B,"analytics,education,gaming,marketing,marketing analytics,mobile,software development",0,0,0,0,"app development,digital marketing,mobile apps,mobile marketing",Yes,Yes,Yes,4/4/13,42e8b6fc-6220-9e63-05e2-3dde74440368,Organization,company,MEDL Mobile,https://www.crunchbase.com/organization/medl-mobile?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,medlmobile.com,http://www.medlmobile.com,https://www.crunchbase.com/organization/medl-mobile/primary-image/raw,http://www.facebook.com/medlmobile,http://twitter.com/medlmobile,,OTCMKTS:MEDL,Fountain Valley,California,USA,MEDL Mobile is a mobile app development and strategic mobile marketing company.,
bazaarvoice,Bazaarvoice,bazaarvoice.com,"Bazaarvoice connects brands, retailers and consumers in the world's largest shopper network, delivering ROI through reviews, analytics and targeted media.",-80,-284,56,"1,021","1,012",9,1%,973,48,5%,"853,169","856,838",0%,"841,414",1%,,,,,,105,176,2936,2418.26,2005,Exited (ipo),"Austin Ventures,Battery Ventures,Constantin Partners,First Round Capital,Floodgate Fund,General Atlantic,Kindred Partners,Level Equity,Signia Venture Partners",$19.9MÂ ,6/18/08,"$7,100,000 ",Austin,Austin,Austin,TX,United States,North America,"B2B,B2C,SaaS","advertising,analytics,e-commerce,enterprise software,marketing,marketing analytics",0,0,0,0,"social commerce,social media",No,No,No,4/26/13,8bb63939-c2f7-4619-b78b-64413c516a5d,Organization,company,Bazaarvoice,https://www.crunchbase.com/organization/bazaarvoice?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,bazaarvoice.com,http://www.bazaarvoice.com,https://www.crunchbase.com/organization/bazaarvoice/primary-image/raw,http://www.facebook.com/bazaarvoice,http://twitter.com/bazaarvoice,http://www.linkedin.com/company/bazaarvoice,NASDAQ:BV,Austin,Texas,USA,"Bazaarvoice helps brands capture, analyze and act upon social data, and enables authentic customer-powered marketing.",
complete-genomics,Complete Genomics,completegenomics.com,"Complete Genomics, a life sciences company, develops and commercializes a DNA sequencing platform for human genome sequencing and analysis.",-77,-77,-240,202,211,-9,-4%,257,-55,-21%,"8,116","8,192",-1%,"8,150",0%,,,,,,79,0,1698,22968.2,2006,Exited (ipo),"Enterprise Partners,Essex Woodlands Health Ventures,OVP Venture Partners,OrbiMed Advisors,Prospect Venture Partners,Sands Capital Ventures",$90.0MÂ ,8/19/10,"$39,000,000 ",Bay Area,Mountain View,Bay Area,CA,United States,North America,B2B,"analytics,biotechnology,healthcare,medical diagnostics,pharmaceuticals",0,0,0,0,,No,No,No,4/4/13,fef181ac-2e1a-a041-8ac3-387a89571a7f,Organization,company,Complete Genomics,https://www.crunchbase.com/organization/complete-genomics?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,completegenomics.com,http://www.completegenomics.com,https://www.crunchbase.com/organization/complete-genomics/primary-image/raw,http://www.facebook.com/pages/Complete-Genomics/171211069602027,http://twitter.com/CompleteGenomic,http://www.linkedin.com/company/complete-genomics-inc.,NASDAQ:GNOM,Mountain View,California,USA,"Complete Genomics, a life sciences company, develops and commercializes a DNA sequencing platform for human genome sequencing and analysis.",
rwe-ag,RWE,rwe.com,RWE AG,-77,-77,40,"10,162","10,082",80,1%,"9,680",482,5%,"233,279","232,608",0%,"223,916",4%,,,,,,,,,Undisclosed,,Exited (ipo),High-Tech Gruenderfonds,$0Â ,,Undisclosed,Essen,Essen,,,Germany,Europe,B2B,"analytics,cleantech,energy,mobile,wind power",0,0,0,0,small & medium sized business,No,No,No,4/7/14,9b19e158-5f1e-1ff0-afea-7c813d96e618,Organization,company,RWE AG,https://www.crunchbase.com/organization/rwe-ag?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,rwe.com,https://www.rwe.com,,,,,:,,,,"RWE is pan-European energy company, RWE Generation, has one of the largest power portfolios in the world.",
