Name,Website,Description,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
Adsmark Pvt. Ltd.,adsmark.in,Online marketing Agency,,,,,,,,14,14,0%,13,8%,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,New Delhi,New Delhi,,,India,Asia,Consulting,"advertising,analytics,marketing,marketing analytics",,No,No,No
Advanced Cell Diagnostics,acdbio.com,Advanced Cell Diagnostics is a molecular pathology company developing cell- and tissue-based diagnostic tests for personalized medicine.,110,109,1,1%,98,12,12%,986,987,0%,"1,019",-3%,,,,,,21,38,319,2006,Exited (acquired),"Morningside Group,New Leaf Venture Partners,Summit Partners",$39.4M¾,6/18/15,"$22,000,000 ",Bay Area,Newark,Bay Area,CA,United States,North America,B2B,"analytics,biotechnology,healthcare,medical diagnostics,pharmaceuticals",,No,No,No
Advantage Solutions,asmnet.com,"Advantage Solutions helps build brand value for manufacturers and retailers through insight-based sales, marketing and technology solutions.","9,924","9,511",413,4%,"8,666","1,258",15%,"214,016","215,539",-1%,"218,729",-2%,,,,,,,,,1987,Late,Apax Partners,$0¾,,Undisclosed,Los Angeles,Irvine,Los Angeles,CA,United States,North America,"B2B,B2C","analytics,food & beverages,human resources hr,marketing,marketing analytics","grocery,sales",Yes,Yes,No
AdVeler Advertising,adveler.com,Online Advertising,2,2,0,0%,2,0,0%,12,12,0%,6,100%,,,,,,,,,2011,Exited (other),,Undisclosed,,Undisclosed,Cleveland,Cleavland,Cleveland,OH,United States,North America,,"advertising,analytics,marketing,marketing analytics",,No,No,No
Advocate Sales Group,advocateseo.com,"SEO for Lawyers that want to grow their law firms. Advocate SEO provides the best and most aggressive search engine optimization for attorneys, period.",,,,,,,,,,,,,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,St Louis,St Louis,,MO,United States,North America,,"analytics,marketing,marketing analytics",,No,No,No
Adways,adways.net,"Adways is a Tokyo-based global mobile app marketing company. Main business includes ad agency, ad network and 3rd party tracking tool.",163,161,2,1%,152,11,7%,"232,834","233,708",0%,"232,425",0%,,,,,,74,63,1060,2001,Exited (ipo),DCM Ventures,$17.8M¾,12/31/10,"$17,776,000 ",Shinjuku-Ku,Shinjuku-Ku,Tokyo,,Japan,Asia,"Affiliate,B2B","analytics,gaming,human resources hr","advertising network,loyalty / rewards",No,No,No
Aerohive Networks,aerohive.com,Develops an enterprise mobility platform that enables a consistent network architecture for organizations of all sizes. The company filed for an IPO in February 2014.,595,579,16,3%,511,84,16%,"310,647","307,077",1%,"295,978",5%,,,,,,44,257,3945,2006,Exited (ipo),"DAG Ventures,Four Rivers Group,Institutional Venture Partners (IVP),Kleiner Perkins Caufield & Byers,Lightspeed Venture Partners,New Enterprise Associates,Northern Light Venture Capital",$85.0M¾,7/9/13,"$10,000,000 ",Milipitas,Milipitas,Bay Area,CA,United States,North America,"B2B,Direct Sales","analytics,cloud computing,communications equipment,data storage,enterprise software,hardware,human resources hr,information security,mobile,security,storage",,No,No,No
Affine,affineanalytics.com,"A high-end analytics services provider to solve complex business problems. It is enabling clients to implement and realize ROI of the recommendations. Expert in informative, exploratory, causal and predictive analytics.",204,204,0,0%,155,49,32%,54,150,-64%,315,-83%,,,,,,62,189,3209,2011,Late,,"$100,000¾",1/1/12,"$100,000 ",Bangalore,Bangalore,,CA,India,Asia,B2B,"analytics,consulting,data storage,finance,human resources hr,marketing,marketing analytics,storage",big data,No,No,No
AgileSense,agilesense.com,Make Sense of Your Data,2,2,0,0%,2,0,0%,13,11,18%,8,63%,,,,,,,,,2011,Exited (other),,Undisclosed,,Undisclosed,Dallas,Dallas,Dallas,TX,United States,North America,"B2B,SaaS","analytics,cloud computing,data storage,finance,marketing,marketing analytics,storage","analytics,business intelligence",No,No,No
Airshop,airshop.io,,,,,,,,,,,,,,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,Melbourne,Melbourne,,,Australia,Oceania,"B2B,B2C,SaaS","analytics,automotive,healthcare,hospitality,legal","restaurants,small & medium sized business",No,No,No
Akamai,akamai.com,"Akamai is the leading content delivery network (CDN) services provider for media and software delivery, and cloud security solutions.","5,740","5,313",427,8%,"5,204",536,10%,"1,718,192","1,719,530",0%,"1,718,649",0%,,,,,,,,,1998,Exited (ipo),"Canvas Venture Fund,GGV Capital ,Industry Ventures,InterWest Partners",$0¾,,Undisclosed,Boston,Cambridge,Boston,MA,United States,North America,"B2B,Consulting","analytics,healthcare,information security,pharmaceuticals,security","broadcasting,content delivery,iaas",Yes,Yes,Yes
Aktana,aktana.com,Give your sales reps data-driven suggestions in the CRM they're already using with Atkana's pioneering Decision Support Engine for the life sciences industry.,45,41,4,10%,22,23,105%,21,21,0%,25,-16%,,,,,,9,27,168,2008,B,"Safeguard Scientifics,Starfish Ventures",$29.1M¾,6/8/16,"$17,500,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,human resources hr,marketing,marketing analytics","big data,sales",No,No,No
Alert Logic,alertlogic.com,"Provides security services for cloud computing, allowing customers to defend against security threats and address compliance mandates. Alert Logic provides SaaS for business application deployments for over 2,400 enterprises.",677,674,3,0%,632,45,7%,"17,607","19,778",-11%,"23,777",-26%,,,,,,42,468,11227,2002,Late,"Access Venture Partners,Covera Ventures,Draper Fisher Jurvetson (DFJ),Industry Ventures,Mercury Fund,OCA Ventures,Updata Partners,Welsh, Carson, Anderson & Stowe",$35.6M¾,8/20/13,Undisclosed,Houston,Houston,Houston,TX,United States,North America,B2B,"analytics,cloud computing,data storage,enterprise software,human resources hr,information security,network / hosting / infrastructure,physical security,security,storage",,No,No,No
Alexa,alexa.com,"Boost traffic and revenue with a full suite of SEO and competitor analysis tools. Discover new opportunities to find, reach, and convert your audience.",43,43,0,0%,41,2,5%,"3,887,306","3,903,401",0%,"3,967,917",-2%,,,,,,,,,1996,Exited (acquired),,$0¾,,Undisclosed,Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,B2C","analytics,marketing,marketing analytics",,No,No,No
Algomizer,algomizer.com,"Algomizer developed advanced algorithms that collect data from various sources, analyze real time results and update budget spend on-the-fly.Our software-as-a-service tool, helps advertisers to manage their entire on-line campaigns and receive the highest ROI possible.",22,21,1,5%,16,6,38%,688,,,,,,,,,,,,,2013,Exited (ipo),,Undisclosed,,Undisclosed,Petach Tikva,Petach Tikva,,,Israel,Asia,,"advertising,analytics,marketing,marketing analytics",,No,No,No
Allegiance,allegiance.com,MaritzCX provides Customer Experience software (CX) and research to help you respond to the Voice of the Customer instantly through our CX Platform.,49,50,-1,-2%,55,-6,-11%,238,311,-23%,567,-58%,,,,,,37,-60,789,2005,Exited (acquired),"Allegis Capital,El Dorado Ventures,Nippon Venture Capital,Rembrandt Venture Partners,TPP Capital Advisors",$51.7M¾,2/4/14,"$19,808,000 ",Salt Lake City,South Jordan,Salt Lake City,UT,United States,North America,B2B,"analytics,customer support,marketing",,No,No,No
Alliance Data Systems,alliancedata.com,"Alliance Data Systems provides marketing, loyalty, and credit solutions in the United States, Canada, and other countries.",6,6,0,0%,4,2,50%,"261,212","262,693",-1%,"247,443",6%,,,,,,,,,1996,Exited (ipo),,Undisclosed,,Undisclosed,Dallas,Plano,Dallas,TX,United States,North America,"B2B,Consulting","analytics,marketing,marketing analytics",,Yes,Yes,No
Alterian,alterian.com,"Alterian Campaign Management, make every customer touchpoint count by delivering relevancy and personalization across all channels and devices.",162,162,0,0%,168,-6,-4%,95,83,14%,114,-17%,,,,,,,,,,Exited (acquired),,Undisclosed,,Undisclosed,Bristol,Bristol,,CO,United States,North America,"B2B,B2C","advertising,analytics,customer support,marketing,marketing analytics",social media,No,No,No
Alteryx,alteryx.com,"Self-Service Data Analytics. Repeatable workflow for self-service BI, data preparation, data blending, and advanced analytics. Deeper insights in hours, not weeks.",457,447,10,2%,427,30,7%,"233,360","230,824",1%,"218,233",7%,,,,,,16,159,1524,2010,C,"Iconiq Capital,Insight Venture Partners,Sapphire Ventures,Toba Capital",$163.0M¾,10/28/15,"$85,000,000 ",Los Angeles,Irvine,Los Angeles,CA,United States,North America,B2B,"analytics,data storage,enterprise software,human resources hr,marketing,marketing analytics,storage",big data,No,No,No
Amber Dune Resort & Spa,premiumknowledge.net,,2,2,0,0%,,,,,,,,,,,,,,,,,2009,Exited (other),,Undisclosed,,Undisclosed,Cabarete,Cabarete,,,Dominican Republic,North America,,"analytics,finance,marketing,marketing analytics",,No,No,No
Ambient Devices,ambientdevices.com,Information at a glance.,5,5,0,0%,5,0,0%,247,201,23%,191,29%,,,,,,102,-2,28,2001,C,".406 Ventures,David S. Rose,First Round Capital,New York Angels,Nicholas Negroponte,Rose Tech Ventures",$9.5M¾,9/16/08,"$5,000,000 ",Boston,Cambridge,Boston,MA,United States,North America,B2B,"analytics,cleantech,consumer electronics,energy,hardware,mobile,solar power,wind power",,No,No,No
"American Marketing Association, Boston",amaboston.org,"Join over 600 local marketers and 30,000 national members for networking opportunities, marketing events and access a great database for marketing jobs.",11,12,-1,-8%,,,,561,532,5%,452,24%,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,Boston,Waltham,Boston,MA,United States,North America,,"analytics,marketing,marketing analytics",,No,No,No
amiando,amiando.com,Our eventmanagement services range from event planning through to implementation so you can create customised solutions that meets your individual requirements.,60,60,0,0%,59,1,2%,"540,586","542,669",0%,"557,999",-3%,,,,,,108,-3,71,2013,Exited (acquired),"AdInvest,Karel Doerner,Kolja Hebenstreit,Lukasz Gadowski,Michael Brehm,Oliver Jung,Redstone Digital,Rodrigo Sepulveda Schulz,Stefan Glaenzer,Wellington Partners",$0¾,3/1/08,Undisclosed,Munich,Munich,,,Germany,Europe,"B2B,B2C,Events","analytics,marketing,marketing analytics,travel",ticketing,No,No,No
Amplitude,amplitude.com,"Amplitude provides mobile analytics for application developers to increase engagement, retention, and in-app purchases by accessing to data-driven insights into usersê behavior and needs.",57,56,1,2%,43,14,33%,"323,662","324,352",0%,"298,064",9%,,,,,,9,19,78,2012,B,"Battery Ventures,Benchmark,BoxGroup,Charlie Cheever,Data Collective,Dave Morin,Gregory Chang,Merus Capital,Quest Venture Partners,SV Angel",$26.0M¾,6/8/16,"$15,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"analytics,finance,marketing,marketing analytics,mobile,software development",big data,No,No,No
Anagran,anagran.com,"Ever wonder how your local screen printing in Knoxville, TN does those unique and beautiful prints? This secret is through screen printing inks and design. A",10,10,0,0%,10,0,0%,3,3,0%,2,50%,,,,,,102,0,10,2004,Exited (other),"Advanced Technology Ventures,Argon Venture Partners,ArrowPath Venture Partners,Draper Fisher Jurvetson (DFJ)",$22.6M¾,9/15/08,"$8,600,000 ",Sunnyvale,Sunnyvale,Bay Area,,United States,North America,B2B,"advertising,analytics,marketing,marketing analytics,network / hosting / infrastructure",,No,No,No
AnalytixInsight,analytixinsight.com,AnalytixInsight has developed industry agnostic technology that analyzes big data to draw actionable insights and narrate into professional analysis reports,10,10,0,0%,10,0,0%,286,360,-21%,486,-41%,,,,,,23,-1,7,2010,Exited (ipo),,$1.9M¾,3/30/15,"$1,864,680 ",New York,New York,New York,NY,United States,North America,B2B,"analytics,finance,marketing,marketing analytics",,No,No,No
Angelrush Ventures,angelrush.com,Venture Capitalist,16,18,-2,-11%,20,-4,-20%,39,65,-40%,74,-47%,,,,,,,,,1999,Exited (acquired),,Undisclosed,,Undisclosed,Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,B2C","advertising,analytics,finance,marketing,marketing analytics",,No,No,No
Ansira,ansira.com,"Ansira leverages data, analytics, insights, strategy, CRM, creative, technology, SEO, SEM and programmatic to deliver unsurpassed results.",714,716,-2,0%,671,43,6%,"4,786","4,978",-4%,"3,719",29%,,,,,,59,335,7097,,Exited (acquired),"Frontenac Company,KRG Capital Partners",$0¾,3/20/12,Undisclosed,St. Louis,St. Louis,St. Louis,MO,United States,North America,B2B,"advertising,analytics,human resources hr,marketing,marketing analytics",,Yes,Yes,No
Answergen,answergen.com,"Answergen is a BI tool for all industries and provides business users with easy access to information through dashboards, drill downs, Business Intelligence Solutions, Analytics software and detail reports.",,,,,,,,"1,645","1,227",34%,867,90%,,,,,,,,,1992,Exited (ipo),,Undisclosed,,Undisclosed,Bonita Springs,Bonita Springs,,FL,United States,North America,"B2B,Consulting","analytics,data storage,enterprise software,finance,human resources hr,information security,marketing,marketing analytics,security,storage","analytics,business intelligence",No,No,No
Antuit,antuit.com,One of those big data companies who re-invent the way big data analytics is optimized to make everyday decisions more profitable,150,149,1,1%,137,13,9%,590,610,-3%,"1,201",-51%,,,,,,25,135,1781,2013,B,"Goldman Sachs,Zodius Capital",$56.0M¾,1/21/15,"$56,000,000 ",Singapore,Singapore,,,Singapore,Asia,B2B,"analytics,consulting,enterprise software,marketing,marketing analytics",,No,No,No
Apica,apicasystem.com,"Apica is an independent and trusted third-party website testing, optimization and monitoring company for mobile and online business performance. Apica provides IT and marketing executives around the world with an unbiased view into their Internet services.",80,80,0,0%,69,11,16%,"22,980","21,793",5%,"16,968",35%,,,,,,56,52,787,2005,C,"Almi Invest,Industrifonden,KTH Chalmers Capital,SEB Venture Capital",$7.0M¾,7/2/12,"$5,000,000 ",Stockholm,Stockholm,,,Sweden,Europe,B2B,"analytics,enterprise software,software development",,No,No,No
Appboy,appboy.com,"Appboy is mobile marketing automation that empowers marketers to build better relationships with their customers with push, email, in-app and more.",146,146,0,0%,144,2,1%,"498,524","489,021",2%,"451,757",10%,,,,,,10,46,239,2011,C,"Accelerator Ventures,Alex Rosen,Battery Ventures,Blumberg Capital,Bullpen Capital,Compound Ventures,IDG Ventures,IDG Ventures USA,InterWest Partners,Michael Lazerow,Rally Ventures (formerly Icon Venture Partners),T5 Capital",$42.6M¾,5/4/16,"$20,000,000 ",New York,New York,New York,NY,United States,North America,B2B,"analytics,email,enterprise software,human resources hr,marketing,marketing analytics,mobile","android,brand marketing,crm,ios,mobile apps,productivity,relationship management,social media",No,No,No
